,Time,Hor_eye,Ver_eye
128,74587.2592816,74587.2650579,74587.2708397
129,74587.2766173,74587.2823942,74587.2881711
130,74587.2939487,74587.2997305,74587.3055075
131,74587.311285,74587.317062,74587.3228438
132,74587.3286214,74587.3343983,74587.3401759
133,74587.3459577,74587.3517346,74587.3575116
134,74587.3632885,74587.3690655,74587.3748479
135,74587.3806248,74587.3864018,74587.3921794
136,74587.3979612,74587.426852,74587.432629
137,74587.4384059,74587.4441835,74587.4499647
138,74587.4557416,74587.4615192,74587.4672961
139,74587.473073,74587.4788555,74587.4846324
140,74587.4904094,74587.4961869,74587.5019688
141,74587.5077457,74587.5135233,74587.5193002
142,74587.5308596,74587.5366365,74587.5424129
143,74587.5481904,74587.5539722,74587.5597492
144,74587.5655267,74587.5713037,74587.5770855
145,74587.5828631,74587.58864,74587.594417
146,74587.6001945,74587.6059763,74587.6117533
147,74587.6175309,74587.6233078,74587.6290896
148,74587.6348666,74587.6406435,74587.6464204
149,74587.652198,74587.6579798,74587.6637574
150,74587.6695343,74587.6753113,74587.6810937
151,74587.6868707,74587.6926476,74587.6984252
152,74587.7042021,74587.7099839,74587.7157615
153,74587.7215384,74587.7273148,74587.7330972
154,74587.7388741,74587.7446511,74587.7504286
155,74587.7562105,74587.7619874,74587.767765
156,74587.7735419,74587.7793189,74587.7851013
157,74587.7908782,74587.7966552,74587.8024328
158,74587.8082146,74587.8139915,74587.8197685
159,74587.8255454,74587.8313223,74587.8371048
160,74587.8428817,74587.8486587,74587.8544362
161,74587.8602181,74587.865995,74587.8717726
162,74587.8775495,74587.8833264,74587.8891089
163,74587.8948858,74587.9006628,74587.9064403
164,74587.9122215,74587.9179985,74587.923776
165,74587.929553,74587.9353354,74587.9411124
166,74587.9468893,74587.9526669,74587.9584438
167,74587.9642256,74587.9700032,74587.9757801
168,74587.9815571,74587.9873395,74587.9931165
169,74587.9988934,74588.0046704,74588.0104473
170,74588.0162291,74588.0220067,74588.0277836
171,74588.0335606,74588.039343,74588.04512
172,74588.0508969,74588.0566745,74588.0624514
173,74588.0682332,74588.0740108,74588.0797877
174,74588.0855647,74588.0913471,74588.0971234
175,74588.1029004,74588.1086779,74588.1144598
176,74588.1202367,74588.1260143,74588.1317912
177,74588.1375682,74588.1433506,74588.1491275
178,74588.1549045,74588.160682,74588.1664639
179,74588.1722414,74588.1780184,74588.1837953
180,74588.1895716,74588.1953541,74588.201131
181,74588.2069086,74588.2126855,74588.2184674
182,74588.2242449,74588.2300219,74588.2357988
183,74588.2415764,74588.2473582,74588.2531351
184,74588.2589127,74588.2646896,74588.276249
185,74588.2820253,74588.2878023,74588.3051386
186,74588.3109162,74588.3166931,74588.3224749
187,74588.3282525,74588.3340294,74588.3398064
188,74588.3455888,74588.3513658,74588.3571427
189,74588.3629203,74588.3686972,74588.3744784
190,74588.380256,74588.3860329,74588.3918099
191,74588.3975923,74588.4033693,74588.4091462
192,74588.4149238,74588.4207007,74588.4264832
193,74588.4322601,74588.438037,74588.443814
194,74588.4495964,74588.4553734,74588.4611509
195,74588.4669272,74588.4727091,74588.478486
196,74588.4842636,74588.4900405,74588.4958181
197,74588.5015999,74588.5073768,74588.5131544
198,74588.5189313,74588.5247132,74588.5304907
199,74588.5362677,74588.5420446,74588.5478216
200,74588.553604,74588.5593803,74588.5651579
201,74588.5709348,74588.5767167,74588.5824942
202,74588.5882712,74588.5940481,74588.5998257
203,74588.6056075,74588.6113844,74588.617162
204,74588.6229389,74588.6287208,74588.6344983
205,74588.6402753,74588.6460522,74588.651834
206,74588.657611,74588.6633879,74588.6691655
207,74588.6749424,74588.6807242,74588.6865018
208,74588.6922787,74588.6980557,74588.7038381
209,74588.7096151,74588.7153926,74588.7211696
210,74588.7269465,74588.7327283,74588.7385059
211,74588.7442822,74588.7500598,74588.7558416
212,74588.7616186,74588.7673955,74588.7731731
213,74588.77895,74588.7847318,74588.7905094
214,74588.7962863,74588.8020633,74588.8078457
215,74588.8136227,74588.8194002,74588.8251772
216,74588.830959,74588.8367359,74588.8425129
217,74588.8482898,74588.8540674,74588.8598492
218,74588.8656261,74588.8714037,74588.8771806
219,74588.8829625,74588.88874,74588.894517
220,74588.9002939,74588.9060715,74588.9118533
221,74588.9176302,74588.9234078,74588.9291841
222,74588.9349659,74588.9407435,74588.9465205
223,74588.9522974,74588.958075,74588.9638568
224,74588.9696337,74588.9754113,74588.9811882
225,74588.9869701,74588.9927476,74588.9985246
226,74589.0043015,74589.0100839,74589.0158609
227,74589.0216372,74589.0274148,74589.0331917
228,74589.0389742,74589.0447511,74589.050528
229,74589.0563056,74589.0620874,74589.0678644
230,74589.0736419,74589.0794189,74589.0851958
231,74589.0909776,74589.0967552,74589.1025321
232,74589.1083097,74589.1140909,74589.1198678
233,74589.1256454,74589.1314224,74589.1371993
234,74589.1429817,74589.1487587,74589.1545356
235,74589.1603132,74589.166095,74589.171872
236,74589.1776495,74589.1834265,74589.1892083
237,74589.1949858,74589.2007628,74589.2065391
238,74589.2123167,74589.2180985,74589.2238754
239,74589.229653,74589.2354299,74589.2412118
240,74589.2469893,74589.2527663,74589.2585432
241,74589.2643208,74589.2701026,74589.2758795
242,74589.2816571,74589.287434,74589.2932159
243,74589.2989928,74589.3047697,74589.3105467
244,74589.3163243,74589.3221061,74589.3278836
245,74589.3336606,74589.3394375,74589.3452193
246,74589.3509969,74589.3567739,74589.3625514
247,74589.3683332,74589.3741102,74589.3798877
248,74589.3856647,74589.391441,74589.3972235
