,Time,Hor_eye,Ver_eye
441,71820.7081371,71820.7139189,71820.7196965
442,71820.7254734,71820.7312503,71820.7370328
443,71820.7428097,71820.7485867,71820.7543642
444,71820.7601406,71820.7659224,71820.7716999
445,71820.7774769,71820.7832538,71820.7890363
446,71820.7948132,71820.8005902,71820.8063677
447,71820.8121447,71820.8179265,71820.8237041
448,71820.829481,71820.8352579,71820.8410404
449,71820.8468173,71820.8525936,71820.8583712
450,71820.864153,71820.8699306,71820.8757075
451,71820.8814845,71820.8872614,71820.8930439
452,71820.8988208,71820.9045977,71820.9103753
453,71820.9161571,71820.9219341,71820.9277116
454,71820.9334886,71820.9392655,71820.9450473
455,71820.9508243,71820.9566018,71820.9623788
456,71820.9681606,71820.9739382,71820.9797151
457,71820.9854921,71820.991269,71820.9970514
458,71821.0028284,71821.008606,71821.0143829
459,71821.0201647,71821.0259423,71821.0317192
460,71821.0374955,71821.043278,71821.0490549
461,71821.0548319,71821.0606094,71821.0663864
462,71821.0721682,71821.0779458,71821.0837227
463,71821.0894996,71821.0952821,71821.101059
464,71821.106836,71821.1126135,71821.1183905
465,71821.1241723,71821.1299492,71821.1357262
466,71821.1415031,71821.1472856,71821.1530625
467,71821.1588395,71821.164617,71821.170394
468,71821.1761758,71821.1819533,71821.1877303
469,71821.1935072,71821.1992897,71821.2050666
470,71821.2108436,71821.2166211,71821.2223974
471,71821.2281793,71821.2339568,71821.2397338
472,71821.2455107,71821.2512932,71821.2570701
473,71821.262847,71821.2686246,71821.2744064
474,71821.2801834,71821.2859609,71821.2917379
475,71821.2975148,71821.3032973,71821.3090742
476,71821.3148505,71821.3206281,71821.3264099
477,71821.3321868,71821.3379644,71821.3437414
478,71821.3495183,71821.3553007,71821.3610777
479,71821.3668552,71821.3726322,71821.378414
480,71821.384191,71821.3899685,71821.3957455
481,71821.4015224,71821.4073042,71821.4130812
482,71821.4188581,71821.4246357,71821.4304175
483,71821.4361944,71821.441972,71821.4477489
484,71821.4535308,71821.4593083,71821.4650853
485,71821.4708622,71821.4766398,71821.4824216
486,71821.4881985,71821.4939761,71821.4997524
487,71821.5055342,71821.5113118,71821.5170887
488,71821.5228657,71821.5286433,71821.5344251
489,71821.5402026,71821.5459796,71821.5517565
490,71821.557539,71821.5633159,71821.5690929
491,71821.5748704,71821.5806474,71821.5864292
492,71821.5922061,71821.5979831,71821.60376
493,71821.6962137,71821.7077676,71821.71355
494,71821.719327,71821.7251039,71821.7308815
495,71821.7366633,71821.7424403,71821.7482178
496,71821.7539948,71821.7597717,71821.7655541
497,71821.7713311,71821.7771074,71821.782885
498,71821.7886668,71821.7944437,71821.8002213
499,71821.8059982,71821.8117801,71821.8175576
500,71821.8233346,71821.8291115,71821.8348891
501,71821.8406709,71821.8464478,71821.8522254
502,71821.8580023,71821.8637842,71821.8695611
503,71821.875338,71821.881115,71821.8868925
504,71821.8926744,71821.8984513,71821.9042289
505,71821.9100058,71821.9157876,71821.9215652
506,71821.9273422,71821.9331191,71821.9388967
507,71821.9446785,71821.9504554,71821.956233
508,71821.9620093,71821.9677911,71821.9735687
509,71821.9793456,71821.9851226,71821.990905
510,71821.996682,71822.0024589,71822.0082365
511,71822.0140134,71822.0197952,71822.0255728
512,71822.0313497,71822.0371267,71822.0429091
513,71822.0486861,71822.0544624,71822.0602399
514,71822.0660169,71822.0717993,71822.0775763
515,71822.0833532,71822.0891302,71822.0949126
516,71822.1006895,71822.1064671,71822.1122441
517,71822.118021,71822.1238034,71822.1295804
518,71822.1353573,71822.1411349,71822.1469161
519,71822.152693,71822.1584706,71822.1642475
520,71822.1700294,71822.1758069,71822.1815839
521,71822.1873608,71822.1931384,71822.1989202
522,71822.2046971,71822.2104747,71822.2162516
523,71822.2220335,71822.227811,71822.233588
524,71822.2393643,71822.2451418,71822.2509237
525,71822.2567006,71822.2624782,71822.2682551
526,71822.2740369,71822.2798145,71822.2855914
527,71822.2913684,71822.297146,71822.3029278
528,71822.3087047,71822.3144823,71822.3202592
529,71822.326041,71822.331818,71822.3375949
530,71822.3433719,71822.3491543,71822.3549313
531,71822.3607082,71822.3664858,71822.3722627
532,71822.3780445,71822.3838221,71822.389599
533,71822.395376,71822.4011584,71822.4069354
534,71822.4127123,71822.4184899,71822.4242662
535,71822.430048,71822.4358256,71822.4416025
536,71822.4473795,71822.4531619,71822.4589388
537,71822.4647158,71822.4704933,71822.4762703
538,71822.4820521,71822.4878297,71822.4936066
539,71822.4993836,71822.505166,71822.5109429
540,71822.5167193,71822.5224968,71822.5282787
541,71822.5340556,71822.5398332,71822.551387
542,71822.5571695,71822.5629464,71822.5687234
543,71822.5745009,71822.5802828,71822.5860597
544,71822.5918373,71822.5976142,71822.6033918
