,Hor_eye,Ver_eye,Time
139,-11.3789444815983,-18.4307796767512,74814.8147244
140,-11.0153068232224,-19.0121306938753,74814.8205056
141,-10.1919563581245,-19.9183551307423,74814.8262831
142,-8.15332044112566,-21.6606105597449,74814.8320601
143,-6.9279910587318,-22.9029344667152,74814.837837
144,-7.99351572139412,-23.5461583232574,74814.8436146
145,-6.43031422476793,-25.1711114283027,74814.8493964
146,-6.266372509871,-25.1778278011303,74814.8551734
147,-6.87145953414202,-25.0754415824009,74814.8609509
148,-7.07861124383637,-25.2427898288694,74814.8667279
149,-7.18099579487922,-25.3355767610571,74814.8725097
150,-7.3380207509951,-25.7417932770191,74814.8782873
151,-7.3477486460877,-25.8917978250603,74814.8840642
152,-7.45397610585953,-26.1452451261199,74814.8898411
153,-7.59966844923591,-26.3487377953947,74814.8956236
154,-7.65444861784516,-26.3750211634116,74814.9014005
155,-7.74896113292556,-26.7403028566802,74814.9071775
156,-7.94366657898792,-26.7427586319536,74814.9129544
157,-8.03546482144049,-27.0030511777562,74814.9187313
158,-8.03546482144049,-27.0030511777562,74814.9245132
159,-8.4616713200486,-27.0623545128646,74814.9302907
160,-8.4616713200486,-27.0623545128646,74814.9360677
161,-8.4616713200486,-27.0623545128646,74814.9418446
162,-8.4616713200486,-27.0623545128646,74814.9476271
163,-8.4616713200486,-27.0623545128646,74814.953404
164,-8.4616713200486,-27.0623545128646,74814.9591809
165,-8.4616713200486,-27.0623545128646,74814.9649585
166,-8.4616713200486,-27.0623545128646,74814.9707354
167,-8.4616713200486,-27.0623545128646,74814.9765173
168,-8.4616713200486,-27.0623545128646,74814.9822948
169,-8.4616713200486,-27.0623545128646,74814.9880718
170,-8.4616713200486,-27.0623545128646,74814.9938487
171,-8.4616713200486,-27.0623545128646,74814.9996312
172,-8.4616713200486,-27.0623545128646,74815.0054075
173,-8.4616713200486,-27.0623545128646,74815.0111844
174,-8.4616713200486,-27.0623545128646,74815.016962
175,-8.4616713200486,-27.0623545128646,74815.0227389
176,-8.4616713200486,-27.0623545128646,74815.0285208
177,-8.4616713200486,-27.0623545128646,74815.0342983
178,-8.4616713200486,-27.0623545128646,74815.0400753
179,-8.4616713200486,-27.0623545128646,74815.0458522
180,-8.4616713200486,-27.0623545128646,74815.0516347
181,-8.4616713200486,-27.0623545128646,74815.0574116
